geocodigo_municipio,nome_municipio,uf,categoria,classe_abc
2503209,Cabedelo,PB,conurbado com uf,A
4307708,Esteio,RS,conurbado com uf,A
3305000,São João da Barra,RJ,demais municipios,A
3300803,Cachoeiras de Macacu,RJ,demais municipios,A
3135100,Janaúba,MG,capital de imediata,A
4307906,Farroupilha,RS,demais municipios,A
4104907,Castro,PR,demais municipios,A
3115300,Cataguases,MG,capital de imediata,A
1507300,São Félix do Xingu,PA,demais municipios,A
2914703,Itaberaba,BA,capital de imediata,A
4202305,Biguaçu,SC,conurbado com uf,A
5208608,Goianésia,GO,demais municipios,A
2928604,Santo Amaro,BA,demais municipios,A
2104800,Grajaú,MA,demais municipios,A
4321501,Torres,RS,capital de imediata,A
3205101,Viana,ES,conurbado com uf,A
2503704,Cajazeiras,PB,capital de imediata,A
3522604,Itapira,SP,demais municipios,A
2403608,Extremoz,RN,conurbado com uf,A
3556701,Vinhedo,SP,demais municipios,A
2309706,Pacatuba,CE,conurbado com uf,A
1301852,Iranduba,AM,demais municipios,A
3530508,Mococa,SP,demais municipios,A
2610905,Pesqueira,PE,demais municipios,A
1505064,Novo Repartimento,PA,demais municipios,A
2301901,Barbalha,CE,demais municipios,A
1501808,Breves,PA,capital de intermediaria,A
2926608,Ribeira do Pombal,BA,capital de imediata,A
2308708,Morada Nova,CE,demais municipios,A
2305233,Horizonte,CE,demais municipios,A
2614501,Surubim,PE,capital de imediata,A
4214805,Rio do Sul,SC,capital de imediata,A
4207304,Imbituba,SC,demais municipios,A
2101707,Barreirinhas,MA,capital de imediata,A
2916401,Itapetinga,BA,capital de imediata,A
2921005,Mata de São João,BA,demais municipios,A
2309607,Pacajus,CE,demais municipios,A
3513405,Cruzeiro,SP,capital de imediata,A
2931905,Tucano,BA,demais municipios,A
2909802,Cruz das Almas,BA,capital de imediata,A
2915601,Itamaraju,BA,demais municipios,A
2305407,Icó,CE,capital de imediata,A
3509601,Campo Limpo Paulista,SP,demais municipios,A
4304507,Canguçu,RS,demais municipios,A
4203006,Caçador,SC,capital de intermediaria,A
2903904,Bom Jesus da Lapa,BA,capital de imediata,A
2302206,Beberibe,CE,demais municipios,A
3501905,Amparo,SP,capital de imediata,A
3515103,Embu-Guaçu,SP,conurbado com uf,A
1502152,Canaã dos Carajás,PA,demais municipios,A
3140001,Mariana,MG,demais municipios,A
5208806,Goianira,GO,demais municipios,A
2313302,Tauá,CE,capital de imediata,A
3524006,Itupeva,SP,demais municipios,A
2300200,Acaraú,CE,capital de imediata,A
5219753,Santo Antônio do Descoberto,GO,demais municipios,A
4310330,Imbé,RS,demais municipios,A
4127106,Telêmaco Borba,PR,capital de imediata,A
2516201,Sousa,PB,capital de intermediaria,A
5105259,Lucas do Rio Verde,MT,demais municipios,A
4303509,Camaquã,RS,capital de imediata,A
4205902,Gaspar,SC,demais municipios,A
1502202,Capanema,PA,capital de imediata,A
4207502,Indaial,SC,demais municipios,A
3127107,Frutal,MG,capital de imediata,A
2902104,Araci,BA,demais municipios,A
2304285,Eusébio,CE,conurbado com uf,A
4122404,Rolândia,PR,demais municipios,A
3507001,Boituva,SP,demais municipios,A
3555000,Tupã,SP,capital de imediata,A
2307601,Limoeiro do Norte,CE,demais municipios,A
2208403,Piripiri,PI,capital de imediata,A
2612208,Salgueiro,PE,capital de imediata,A
3537800,Piedade,SP,demais municipios,A
1504802,Monte Alegre,PA,demais municipios,A
4312401,Montenegro,RS,capital de imediata,A
2704708,Marechal Deodoro,AL,demais municipios,A
1506500,Santa Izabel do Pará,PA,demais municipios,A
2402006,Caicó,RN,capital de intermediaria,A
2905206,Caetité,BA,demais municipios,A
2313500,Trairi,CE,demais municipios,A
2602605,Brejo da Madre de Deus,PE,demais municipios,A
3533908,Olímpia,SP,demais municipios,A
4202107,Barra Velha,SC,demais municipios,A
3530300,Mirassol,SP,demais municipios,A
3537305,Penápolis,SP,demais municipios,A
3519600,Ibitinga,SP,demais municipios,A
2312403,São Gonçalo do Amarante,CE,demais municipios,A
3300233,Armação dos Búzios,RJ,demais municipios,A
3502101,Andradina,SP,capital de imediata,A
3531803,Monte Mor,SP,demais municipios,A
1500404,Alenquer,PA,demais municipios,A
4322509,Vacaria,RS,capital de imediata,A
3149309,Pedro Leopoldo,MG,conurbado com uf,A
3526803,Lençóis Paulista,SP,demais municipios,A
1508001,Tomé-Açu,PA,demais municipios,A
4318309,São Gabriel,RS,capital de imediata,A
1501501,Benevides,PA,demais municipios,A
2302602,Camocim,CE,capital de imediata,A
1502301,Capitão Poço,PA,capital de imediata,A
3303807,Paraty,RJ,demais municipios,A
4303905,Campo Bom,RS,demais municipios,A
1507953,Tailândia,PA,demais municipios,A
4321204,Taquara,RS,capital de imediata,A
1100288,Rolim de Moura,RO,demais municipios,A
3304300,Rio Bonito,RJ,capital de imediata,A
2302404,Boa Viagem,CE,demais municipios,A
2203909,Floriano,PI,capital de intermediaria,A
5206206,Cristalina,GO,demais municipios,A
2314102,Viçosa do Ceará,CE,demais municipios,A
1100114,Jaru,RO,capital de imediata,A
2304707,Granja,CE,demais municipios,A
3533403,Nova Odessa,SP,demais municipios,A
3528403,Mairinque,SP,demais municipios,A
2919801,Macaúbas,BA,demais municipios,A
4306106,Cruz Alta,RS,capital de imediata,A
3121605,Diamantina,MG,capital de imediata,A
3509700,Campos do Jordão,SP,demais municipios,A
3152105,Ponte Nova,MG,capital de imediata,A
5213806,Morrinhos,GO,demais municipios,A
5100250,Alta Floresta,MT,capital de imediata,A
4304705,Carazinho,RS,capital de imediata,A
4209409,Laguna,SC,demais municipios,A
2709301,União dos Palmares,AL,capital de imediata,A
2929909,Seabra,BA,capital de imediata,A
3107406,Bom Despacho,MG,demais municipios,A
2928802,Santo Estêvão,BA,demais municipios,A
2613008,São Bento do Una,PE,demais municipios,A
